sub_topic_name,topic_name,subject_name
Cerebellar Circuits,Cerebellum,Anatomy
Purkinje cells of cerebellum relay into,Cerebellum,Anatomy
Arrangement of cerebellar nuclei from lateral to medial,Cerebellum,Anatomy
Functional Divisions of Cerebellum,Cerebellum,Anatomy
Blood Supply of cerebellum,Cerebellum,Anatomy
Layers of the cerebellar cortex,Cerebellum,Anatomy
Cerebellar peduncles and their connections,Cerebellum,Anatomy
True about anterior intercostal artery,Thoracic Cage,Anatomy
Phrenic N – Referred Pain,Thoracic Cage,Anatomy
Intercostal nerves – Overview,Thoracic Cage,Anatomy
Post-ductal coarctation of the aorta,Thoracic Cage,Anatomy
Intercostal arteries – Overview,Thoracic Cage,Anatomy
Tributaries of the brachiocephalic vein,Thoracic Cage,Anatomy
Left Phrenic Nerve – Overview,Thoracic Cage,Anatomy
Anatomy of pleural tapping,Thoracic Cage,Anatomy
Intercostal Vein – Anatomy,Thoracic Cage,Anatomy
Azygos & Hemiazygos veins – Overview,Thoracic Cage,Anatomy
Intercostal nerve – Overview,Thoracic Cage,Anatomy
SA Node – Overview,Heart,Anatomy
Sinoatrial node is located,Heart,Anatomy
Cardiac ganglion is situated,Heart,Anatomy
Coronary dominance is determined by,Heart,Anatomy
Triangle of Koch,Heart,Anatomy
Transverse sinus,Heart,Anatomy
Coronary Arteries – Overview,Heart,Anatomy
Surface Marking,Heart,Anatomy
Coronary sinus – Overview,Heart,Anatomy
Structures passing through heart sulci,Heart,Anatomy
Papillary muscles,Heart,Anatomy
Cardiac Veins -Overview,Heart,Anatomy
Vessels and infarct areas,Heart,Anatomy
MC carpal bone injuries,Upper Limb Muscles,Anatomy
Dorsal scapular nerve innervates,Upper Limb Muscles,Anatomy
Muscles which cross both the shoulder and elbow joint,Upper Limb Muscles,Anatomy
Muscles of the palm – Pictures & Functions,Upper Limb Muscles,Anatomy
Popeye sign,Upper Limb Muscles,Anatomy
Biceps Brachii,Upper Limb Muscles,Anatomy
Rotator cuff,Upper Limb Muscles,Anatomy
Spaces around shoulder joint,Upper Limb Muscles,Anatomy
Compartments and contents of Forearm,Upper Limb Muscles,Anatomy
Spinal accessory nerve,Upper Limb Muscles,Anatomy
"Nerve injuries – Causes, Musles affected, Posture, Functions Lost",Upper Limb Muscles,Anatomy
Interossei,Upper Limb Muscles,Anatomy
Thoracodorsal nerve,Upper Limb Muscles,Anatomy
De quervain’s tenosynovitis,Upper Limb Muscles,Anatomy
Attachments on the 1st rib,Thoracic Cage 2,Anatomy
Sibson’s fascia – Overview,Thoracic Cage 2,Anatomy
Joints of the ribs,Thoracic Cage 2,Anatomy
Arrangement of vein-artery-nerve,Thoracic Cage 2,Anatomy
Spinous Processes and their Significance,Thoracic Cage 2,Anatomy
False ribs,Thoracic Cage 2,Anatomy
Retrosternal structures,Thoracic Cage 2,Anatomy
Joints of the ribs,Thoracic Cage 2,Anatomy
Relations of 1st rib,Thoracic Cage 2,Anatomy
Anatomical snuffbox,Upper Limb – Anatomical Spaces,Anatomy
Spaces of Hand,Upper Limb – Anatomical Spaces,Anatomy
Cubital fossa,Upper Limb – Anatomical Spaces,Anatomy
Kanavel’s sign,Upper Limb – Anatomical Spaces,Anatomy
Clavipectoral fascia,Upper Limb – Anatomical Spaces,Anatomy
Lower triangular space,Upper Limb – Anatomical Spaces,Anatomy
Pulp space infection,Upper Limb – Anatomical Spaces,Anatomy
Carpal tunnel,Upper Limb – Anatomical Spaces,Anatomy
Upper triangular space,Upper Limb – Anatomical Spaces,Anatomy
Axillary sheath,Upper Limb – Anatomical Spaces,Anatomy
Quadrangular space,Upper Limb – Anatomical Spaces,Anatomy
Dorsal digital expansion,Upper Limb – Anatomical Spaces,Anatomy
Extensor Retinaculum Compartments,Upper Limb – Anatomical Spaces,Anatomy
Flexor retinaculum,Upper Limb – Anatomical Spaces,Anatomy
Mesogastrium,Liver & Pancreas,Anatomy
Anal agenesis,Liver & Pancreas,Anatomy
Persistent vitellointestinal duct,Liver & Pancreas,Anatomy
Pancreas development,Liver & Pancreas,Anatomy
Spleen development,Liver & Pancreas,Anatomy
Septum transversum,Liver & Pancreas,Anatomy
Blood Supply and Derivatives of the Primitive Gut,Liver & Pancreas,Anatomy
Origins of cranial nerves at the base of the brain,Cranial Nerves,Anatomy
Arrangement of cranial nerve nuclei in the brainstem,Cranial Nerves,Anatomy
Identification of the facial nerve trunk,Cranial Nerves,Anatomy
Trigeminal nerve nucleus functions and location,Cranial Nerves,Anatomy
Base of skull Formaina,Cranial Nerves,Anatomy
Cranial Nerve nuclei,Cranial Nerves,Anatomy
Ulnar Nerve Injury – Clinical features,Upper Limb – Nerves,Anatomy
Nerves affected in injury to medial epicondyle of the humerus,Upper Limb – Nerves,Anatomy
Wrist slash injuries,Upper Limb – Nerves,Anatomy
Card Test,Upper Limb – Nerves,Anatomy
Nerves not directly related to humerus,Upper Limb – Nerves,Anatomy
Brachial plexus – Anatomy,Upper Limb – Nerves,Anatomy
Structures of brachial plexus not giving branches,Upper Limb – Nerves,Anatomy
Horner Syndrome,Upper Limb – Nerves,Anatomy
Testing of Median Nerve Injury,Upper Limb – Nerves,Anatomy
Median Nerve Injury – Clinical features,Upper Limb – Nerves,Anatomy
Testing of Long Thoracic Nerve,Upper Limb – Nerves,Anatomy
Klumpke’s plasy,Upper Limb – Nerves,Anatomy
Carpal tunnel syndrome,Upper Limb – Nerves,Anatomy
Axillary Nerve Injury,Upper Limb – Nerves,Anatomy
Power grip of hand,Upper Limb – Nerves,Anatomy
Erb’s Palsy,Upper Limb – Nerves,Anatomy
Space of Disse,Histology – GI Tract,Anatomy
Structures forming the portal triad of the liver,Histology – GI Tract,Anatomy
Types of cells in the gastric glands,Histology – GI Tract,Anatomy
Gut wall layers,Histology – GI Tract,Anatomy
Paneth cells,Histology – GI Tract,Anatomy
Brunner’s glands,Histology – GI Tract,Anatomy
Arteries supplying specific parts of the brain,Brain – Blood Vessels,Anatomy
Labrynthine artery is a branch of,Brain – Blood Vessels,Anatomy
Blood supply to Fornix,Brain – Blood Vessels,Anatomy
Two internal cerebral veins join to form,Brain – Blood Vessels,Anatomy
Chief artery of the superolateral surface of the cerebral hemisphere,Brain – Blood Vessels,Anatomy
Blood supply of internal capsule,Brain – Blood Vessels,Anatomy
Unpaired vessel in central nervous system,Brain – Blood Vessels,Anatomy
Circumventricular Organs (CVO),Brain – Blood Vessels,Anatomy
Circle of Willis,Brain – Blood Vessels,Anatomy
Sinuses of the brain,Brain – Blood Vessels,Anatomy
Charcot’s artery,Brain – Blood Vessels,Anatomy
Internal carotid artery branches,Brain – Blood Vessels,Anatomy
Branches of brachial artery,Upper Limb Vessels,Anatomy
Interosseous recurrent artery,Upper Limb Vessels,Anatomy
Subscapular artery,Upper Limb Vessels,Anatomy
Modified Allens test,Upper Limb Vessels,Anatomy
Anastomosis around the scapula,Upper Limb Vessels,Anatomy
Axillary LN,Upper Limb Vessels,Anatomy
Subclavian artery,Upper Limb Vessels,Anatomy
Supports of the Uterus,Genital Organs,Anatomy
Inguinal Canal and Spermatic Cord Contents,Genital Organs,Anatomy
Helicine arteries of the penis,Genital Organs,Anatomy
DeLancey’s levels of support of the genital organs,Genital Organs,Anatomy
Blood supply of the penis,Genital Organs,Anatomy
Male and female homologous structures,Genital Organs,Anatomy
Fallopian tube,Genital Organs,Anatomy
Nerve supply of scrotum,Genital Organs,Anatomy
Contents of the Broad ligament,Genital Organs,Anatomy
Prostate zones,Genital Organs,Anatomy
Sequence of pre-embryonic development,Pre-embryonic Timeline,Anatomy
Inner cell mass gives rise to,Pre-embryonic Timeline,Anatomy
Timeline of 1st 2 weeks,Pre-embryonic Timeline,Anatomy
Zona reaction,Pre-embryonic Timeline,Anatomy
Steps in maturation of spermatozoon,Pre-embryonic Timeline,Anatomy
Timeline of implantation,Pre-embryonic Timeline,Anatomy
Barriers for Sperm penetration,Pre-embryonic Timeline,Anatomy
Second gas effect is seen with,Inhaled Anesthetics,Anesthesiology
Halothane – Overview,Inhaled Anesthetics,Anesthesiology
