subject_name,topic_name,sub_topic_name
Surgery,Esophagus,Replacement conduits after esophagectomy
Surgery,Esophagus,Risk factors for Sq Cell CA
Surgery,Esophagus,Bochdalek hernia – Overview
Surgery,Esophagus,Nutcracker esophagus
Surgery,Esophagus,Zenker’s diverticulum – Overview
Surgery,Esophagus,Heller’s operation is done for
Surgery,Esophagus,Corrosive esophagitis – Features and Rx
Surgery,Esophagus,Manometric findings in Esophageal disorders
Surgery,Esophagus,Bird’s beak appearance
Surgery,Esophagus,GERD – pathophysiology
Surgery,Esophagus,Morgagni’s hernia – Overview
Surgery,Esophagus,Spontaneous perforation of esophagus – Clinical features
Surgery,Esophagus,Dysphagia lusoria is due to
Surgery,Esophagus,Rx of Variceal bleeding
Surgery,Esophagus,Treatment of achalasia cardia
Surgery,Esophagus,Corkscrew esophagus
Surgery,Esophagus,Esophageal diverticula
Surgery,Esophagus,Chicago classification
Surgery,Esophagus,Rx of Esophageal perforation
Surgery,Esophagus,Drug induced Esophagitis
Surgery,Esophagus,Rx of Esophageal perforation
Surgery,Esophagus,"GERD – Investigations, Rx"
Surgery,Esophagus,Boerhaave syndrome – Overview
Surgery,Esophagus,Schatzki’s ring
Surgery,Esophagus,Plummer–Vinson syndrome
Surgery,Esophagus,Siewert classification
Surgery,Esophagus,Congenital diaphragmatic hernia – Overview
Surgery,Esophagus,Hiatus hernia – Overview
Surgery,Esophagus,Eosinophilic esophagitis – Radiology
Surgery,Esophagus,Types of Fundoplication
Surgery,Esophagus,"Achalasia cardia – Clincal features, Radiology, Manometry,Rx"
Surgery,Esophagus,AIMS65 score
Surgery,Large intestine,
Surgery,Large intestine,Diverculitis – Diagnosis
Surgery,Large intestine,MC site of angiodysplasia
Surgery,Large intestine,Crohn’s disease – Overview
Surgery,Large intestine,Diverticulosis – Overview
Surgery,Large intestine,Hirschsprung’s disease – Overview
Surgery,Large intestine,Toxic megacolon – Radiology
Surgery,Large intestine,Hirschsprung’s disease – Gold standard for diagnosis
Surgery,Large intestine,Diverculitis – Overview
Surgery,Large intestine,Length of the flexible sigmoidoscope
Surgery,Large intestine,Hinchey’s classification
Surgery,Large intestine,Paracolic lymph nodes are situated
Surgery,Large intestine,Hirschsprung’s disease – Rx
Surgery,Large intestine,Complications of diverticular disease
Surgery,Large intestine,Pseudomembranous colitis – Overview
Surgery,Large intestine,Bx site in Hirschprung’s
Surgery,Cancer of the Pancreas,MC complication of Whipple’s
Surgery,Cancer of the Pancreas,Risk factors for CA Pancreas
Surgery,Cancer of the Pancreas,Earliest genetic change in CA Pancreas
Surgery,Cancer of the Pancreas,MC tumor of Pancreas
Surgery,Cancer of the Pancreas,Radiology in CA Pancreas
Surgery,Cancer of the Pancreas,Best method to obtain tissue for the diagnosis of CA Pancreas
Surgery,Cancer of the Pancreas,Mucinous Cystadenoma of the Pancreas – Overview
Surgery,Cancer of the Pancreas,Components of Whipple’s
Surgery,Cancer of the Pancreas,Tumor marker in CA Pancreas
Surgery,Cancer of the Pancreas,Surgery of choice for CA Pancreas
Surgery,Cancer of the Pancreas,"Intraductal papillary mucinous neoplasm – Overview, Diagnosis"
Surgery,Cancer of the Pancreas,Drugs used in CA Pancreas
Surgery,Cancer of the Pancreas,Serous cystadenoma of the pancreas – Overview
Surgery,Benign Disorders of Kidney,Kidney Trauma – approach
Surgery,Benign Disorders of Kidney,Radiological findings in Hydronephrosis
Surgery,Benign Disorders of Kidney,Adult Polycystic Kidney diseasae – Overview
Surgery,Benign Disorders of Kidney,Radiolucent Renal Stones
Surgery,Benign Disorders of Kidney,"Renal stones – Causes, Rx"
Surgery,Benign Disorders of Kidney,Horseshoe kidney – Overview
Surgery,Benign Disorders of Kidney,Acute pyelonephritis – Overview
Surgery,Benign Disorders of Kidney,Investigation of choice for UPJ obstruction in children
Surgery,Benign Disorders of Kidney,Microscopic Appearance of Various Stones
Surgery,Benign Disorders of Kidney,Congenital anomalies
Surgery,Benign Disorders of Kidney,Bosniak classification
Surgery,Benign Disorders of Kidney,Ureteropelvic junction (UPJ) obstruction – Overview
Surgery,Benign Disorders of Kidney,Urolithogenic drugs
Surgery,Benign Disorders of Kidney,Benign tumors of Kidney
Surgery,Benign Disorders of Kidney,Oncocytoma – Overview
Surgery,Benign Disorders of Kidney,Causes of Hydronephrosis
Surgery,Benign Disorders of Kidney,Renal TB – Overview
Surgery,Benign Disorders of Kidney,Drugs used for Renal stones
Surgery,Benign Disorders of Kidney,"Pyelonephritis – Types, Causes"
Surgery,Thorax,Management of  tension pneumothorax
Surgery,Thorax,Common tumors of posterior mediastinum
Surgery,Thorax,MC primary tumors of the anterior mediastinum
Surgery,Thorax,Thoracoscore
Surgery,Thorax,Pulmonary Sequestration – Blood supply
Surgery,Thorax,Mesothelioma – Overview
Surgery,Thorax,Hemoptysis – Overview
Surgery,Thorax,Lung – TNM staging
Surgery,Thorax,Common Mediastinal Masses
Surgery,Thorax,Masaoka staging
Surgery,Thorax,Paraneoplastic syndromes – Overview
Surgery,Thorax,Bronchial Carcinoids – Overview
Surgery,Thorax,Indications for Thoracotomy in Trauma
Surgery,Thorax,Bronchopulmonary Segments
Surgery,Wound Healing,Keloid – Overview
Surgery,Wound Healing,Southampton wound grading system
Surgery,Wound Healing,Bedsore – stage
Surgery,Wound Healing,Pressure used in Vacuum-assisted closure for wounds
Surgery,Wound Healing,Fasciotomy for compartment syndrome
Surgery,Wound Healing,Scar characteristis
Surgery,Wound Healing,ASEPSIS wound score
Surgery,Wound Healing,Staging of Pressure Sores
Surgery,Wound Healing,Wound healing – biological process
Surgery,Wound Healing,Hypertrophic scar
Surgery,Wound Healing,Surgical wound classifications
Surgery,Veins & Lymphatics,CEAP classification of chronic venous disorders
Surgery,Veins & Lymphatics,Lymphedema – Overview
Surgery,Veins & Lymphatics,Varicose veins – Overview
Surgery,Veins & Lymphatics,Grading of lymphedema
Surgery,Veins & Lymphatics,"DVT – Overview ( causes, features, Rx )"
Surgery,Veins & Lymphatics,Axillary vein thrombosis – Overview
Surgery,Veins & Lymphatics,MC site for venous ulcer
Surgery,Veins & Lymphatics,Sclerosants in varicose vein
Surgery,Veins & Lymphatics,Virchow’s triad
Surgery,Veins & Lymphatics,Trousseau’s syndrome
Surgery,Veins & Lymphatics,Complications of lymphedema
